Mass	C	H	O	N	C13	S	P	Na	El_comp	Class	NeutralMass	Error_ppm	Candidates	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	CS13	C14	C15	C16	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
278.1245622	11	21	7	1	0	0	0	0	CHON	AminoSugar	279.1318387	-0.131348862	1	2796580.5	0	3627371.3	0	2035491.1	0	3262421.3	0	1679791.8	0	2025329.9	0	3942144.5	0	1761857.6	0	2023384.8	0	1228628.4	0	1594502.6	0	0	0	2163287.5	0	0	0	0	0	1300241.1	0
278.12591	0	0	0	0	0	0	0	0		None	279.1331865	0	1	0	0	0	1284167.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.139829	15	21	4	1	0	0	0	0	CHON	Lignin	279.1471055	-0.169441771	1	0	0	0	0	0	0	1244377.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.1478955	15	22	4	0	1	0	0	0	CHO	Lignin	279.155172	-0.028423189	1	0	0	0	1420366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1497792.6	0	0	0	1807823.1	0	0	0	0
278.1591688	14	22	3	2	1	0	0	0	CHON	Lignin	279.1664453	-0.171454566	0	0	0	1360758	1324881.3	0	0	1705439.5	0	0	1202159	0	0	0	0	1678924.8	0	1714659.1	0	1273565.8	0	0	0	0	0	1292385.1	0	1711230.4	1713618.9	0	0	0	2076271.1
278.176212	16	25	3	1	0	0	0	0	CHON	Lipid	279.1834885	-0.16044244	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.640601	0	0	0	0	0	0	0	0		None	279.6478775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225853.4
278.801373	0	0	0	0	0	0	0	0		None	279.8086495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1281059.3	0	0	0	0	0
278.892947	0	0	0	0	0	0	0	0		None	279.9002235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252837.1	0	0	0	0	0	0
278.952903	0	0	0	0	0	0	0	0		None	279.9601795	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.971068	0	0	0	0	0	0	0	0		None	279.9783445	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.9938214	8	12	3	2	0	3	0	0	CHONS	Protein	280.0010978	-0.333962905	1	0	0	0	0	2147127.5	0	2303702	0	1728226.8	0	1888372.3	0	0	0	4208473	0	1525724.8	0	0	0	0	0	0	0	1822282.6	0	0	0	0	0	1847876	0
278.994213	16	8	1	0	0	2	0	0	CHOS	ConHC	280.0014895	0.595682617	3	0	0	0	0	0	1500797.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278.9948824	0	0	0	0	0	0	0	0		None	280.0021589	0	1	0	1605170.9	0	1892161.5	0	0	0	1815707.3	0	2402050.5	0	1932516	0	2018204.3	1581657.4	2378587.8	1794269.1	1398690.1	0	2387144	0	1288700.1	0	2936433.3	1828682.9	1316858.9	0	3891690.5	1522163.5	3218691	2210884.5	3823718
279.007365	0	0	0	0	0	0	0	0		None	280.0146415	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.0146483	12	8	8	0	0	0	0	0	CHO	ConHC	280.0219248	-0.026983104	2	10922788	2557752	7926400	2843463.3	9211198	4867714.5	9156316	2887584.3	11144682	2883335.5	7916666.5	2130408.5	9010216	1438368.9	9608032	1989984.5	7653859	1745830.6	6458308.5	2015179.9	4879452.5	8101377	3916255.3	2627701.3	8743248	0	6202458	1796849.1	4073464.3	4490504.5	7355467.5	3926123.8
279.0391455	0	0	0	0	0	0	0	0		None	280.046422	0	0	52937516	10025279	33965704	8070478	75901256	5574280.5	48318180	11588006	25161202	57323788	55485568	8478702	71822384	17559718	82995048	7985766.5	43664876	22339756	27860940	15059153	23024738	15362567	42989544	12942458	64739672	35287300	60700768	37882872	69114880	47553808	34345044	15757427
279.046274	10	17	5	0	0	1	1	0	CHOSP	Protein	280.0535505	-0.427099316	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.0486589	17	12	2	0	0	1	0	0	CHOS	ConHC	280.0559354	-0.482318117	1	35660588	2336577.3	31168138	2956113	61819208	2671754.8	32925414	2567080.8	67563000	11315472	18633860	0	22490164	2093224.9	12787563	0	12105197	1404334.5	4491214	2186194.8	8040548.5	1764617.8	3560425	0	55826780	3786502.5	16914530	0	16673792	4429074.5	6875223.5	2774646
279.0510387	13	12	7	0	0	0	0	0	CHO	Lignin	280.0583151	-0.044253807	2	9130799	2091841.9	6785675	3649873.8	8673610	5062283.5	8535783	1647529.3	10018295	3329296.8	8142981	1443824.5	8886324	2883241.3	9181035	0	6427118	0	6446030.5	2047699.3	4767845	1914890.4	3274729.8	1868412.8	9509211	1381638.9	6119523.5	3126269.3	3831809	4036883	9310296	4719734.5
279.0567795	0	0	0	0	0	0	0	0		None	280.064056	0	2	0	0	1463181	1444179.3	0	0	0	0	0	1453330.3	1255302.9	0	4188213.8	1524906.8	0	1302634.9	3642863.5	1524912.4	0	1927892.4	0	0	0	0	0	0	1681253	4103679.3	1234946.4	0	1413466.3	2628216.3
279.0721544	10	16	9	0	0	0	0	0	CHO	Carb	280.0794308	0.004577214	1	3146548.8	0	2725009.8	0	3076432.3	0	4035821.3	0	3167742.3	1283862.1	3578507.5	0	3230778.8	0	3825010.3	0	4016628	0	2703316.3	1227479.5	2015594.1	1252367.8	1606639.6	0	3720032.8	0	2945129	1254852.4	2481158	1836569	3613279.8	2536060.8
279.084953	18	16	1	0	0	1	0	0	CHOS	UnsatHC	280.0922295	-0.155810035	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387528.6	0	0	0	0
279.0874526	14	16	6	0	0	0	0	0	CHO	Lignin	280.094729	-0.145604954	2	6457145	2515787.5	18929302	66100572	8718677	19715732	7036658	1845426.3	7652867.5	3393818	6425744	2099192.5	8795200	8079538	14618487	1469554.5	6699512.5	0	6232024.5	1775322.6	3142765.8	1636115.6	4358132	1990532.4	7155045	1965326.8	5753965	4677129.5	2465289.8	4485405.5	7634021	5617793.5
279.0986473	13	16	5	2	0	0	0	0	CHON	Lignin	280.1059237	-0.007467315	1	4615996	0	5026458	2933087.3	4271449	0	5997301	1803957.1	4941319.5	1857820.9	3816595.3	1249403	6992963.5	1409204.4	3594618.8	1242741.3	5182972	0	3299291.3	1233884.9	3138672.5	1251222.4	2209271.3	1965446.6	5479784	0	3936367.8	1909005.3	2701836.5	0	3928169	2841220.8
279.100498	11	21	6	0	0	0	1	0	CHOP	Protein	280.1077745	-0.712405004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.102521	18	16	3	0	0	0	0	0	CHO	Lignin	280.1097975	0.524483689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1285046.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.105624	0	0	0	0	0	0	0	0		None	280.1129005	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1340815.6	0	0	0	0
279.1085713	11	20	8	0	0	0	0	0	CHO	Carb	280.1158478	-0.107576185	1	0	0	0	0	1280091.9	0	1681400	0	0	0	0	0	1673030.8	0	1868158	0	1460735	0	1523422	0	0	0	0	0	0	0	0	0	0	0	1372524.5	0
279.11242	0	0	0	0	0	0	0	0		None	280.1196965	0	1	0	0	0	0	0	19191450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.1148013	0	0	0	0	0	0	0	0		None	280.1220777	0	2	0	0	0	3155299.8	1267294	22046364	0	0	0	0	1621400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.119198	12	25	3	0	0	1	1	0	CHOSP	Lipid	280.1264745	-0.973125016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502466.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.11976	10	20	7	2	0	0	0	0	CHON	Carb	280.1270365	0.051905808	1	0	1241812.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.1213833	0	0	0	0	0	0	0	0		None	280.1286598	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.122852	0	0	0	0	0	0	0	0		None	280.1301285	0	1	12264259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.1238149	15	20	5	0	0	0	0	0	CHO	Lignin	280.1310914	-0.062828064	1	308405056	10223957	45074080	736681344	40413536	379573920	13602557	2678203.3	22912528	9322787	505210016	11943937	47664204	23040186	24512386	1300091.4	250275328	13183168	16685026	2463970	34534520	11917853	10907646	2265228	11207023	8337686.5	13727862	136113168	6638610.5	3106599.8	66613360	13004940
279.1272133	12	24	5	0	0	1	0	0	CHOS	Protein	280.1344897	-0.161158235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1255693.1
279.128292	0	0	0	0	0	0	0	0		None	280.1355685	0	3	2118212.8	0	0	3467111.8	0	0	0	0	0	0	3003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.1350561	14	20	4	2	0	0	0	0	CHON	Lignin	280.1423325	-0.090659303	1	1735750.6	0	2126501.3	0	1916260.4	0	2449919.8	0	0	0	2006942.1	0	0	1453500.9	1906054.5	0	0	0	1951973.1	0	1351801.3	0	0	0	0	0	2360953	0	1702933.1	1258026.9	2124917.8	1661071.4
279.144981	12	24	7	0	0	0	0	0	CHO	AminoSugar	280.1522575	-0.193972308	2	0	0	0	0	0	0	2268418.8	0	0	0	1550753	0	1667154.9	0	1253001.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268857.4	0
279.160209	16	24	4	0	0	0	0	0	CHO	Lipid	280.1674855	-0.093544331	1	0	0	1869741.1	4227441	0	1761702.6	1793799.3	0	1557533.4	0	2220709.5	0	2570328	0	1995150.5	0	2247694.3	0	1709803.9	1301481.3	0	0	0	0	1506425.4	0	1595263.6	2327585.8	0	0	1791230.6	2339478.8
279.163646	13	28	4	0	0	1	0	0	CHOS	Protein	280.1709225	-0.329761844	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.185416	0	0	0	0	0	0	0	0		None	280.1926925	0	0	0	0	0	0	1288564.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.1966705	17	28	3	0	0	0	0	0	CHO	Lipid	280.203947	-0.364740686	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1446446	0	0	0	0
279.2329869	18	32	2	0	0	0	0	0	CHO	Lipid	280.2402634	-0.1182554	1	0	0	0	1420933.8	0	0	1398300.9	1324758.5	0	2357567	0	0	0	1265875.6	0	0	1804580	2046169	0	3165431.8	0	2929208.5	0	2211490.5	0	1711917.8	0	5438522	0	2093382.8	1692312.4	3644588.3
279.348051	0	0	0	0	0	0	0	0		None	280.3553275	0	0	0	0	0	0	0	1331861.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.543333	0	0	0	0	0	0	0	0		None	280.5506095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333858.4	0	0	0	0	0
279.62958	0	0	0	0	0	0	0	0		None	280.6368565	0	0	0	0	0	0	0	0	0	0	0	0	1259568.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.694304	0	0	0	0	0	0	0	0		None	280.7015805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1383432.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.825722	0	0	0	0	0	0	0	0		None	280.8329985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276782.4	0	0	0	0	0	0	0	0	0	0	0	0
279.872009	0	0	0	0	0	0	0	0		None	280.8792855	0	0	0	0	0	0	0	0	0	0	0	1207521.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
